annual,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dic,geojson,geom
9.471,10.355,9.561,9.584,9.571,8.591,8.103,7.93,8.732,9.559,10.622,10.542,10.51,"{""type"":""MultiPolygon"",""coordinates"":[[[[-67.00537109375,-24.652950286865],[-67.3545837402344,-24.7251491546629],[-67.4325637817383,-24.4080390930174],[-67.0853576660156,-24.3365402221678],[-67.00537109375,-24.652950286865]]]]}",0106000020E610000001000000010300000001000000050000000200000058C050C0C0FFFFBF27A738C000000080B1D650C0CEFFFF5FA3B938C0FEFFFF1FAFDB50C0D6FFFF3F756838C00000008076C550C0C4FFFF7F275638C00200000058C050C0C0FFFFBF27A738C0
9.634,10.661,9.973,9.921,9.7,8.627,8.049,7.916,8.769,9.655,10.781,10.83,10.736,"{""type"":""MultiPolygon"",""coordinates"":[[[[-66.9244079589844,-24.970390319824],[-67.2756271362305,-25.0432891845701],[-67.3545837402344,-24.7251491546629],[-67.00537109375,-24.652950286865],[-66.9244079589844,-24.970390319824]]]]}",0106000020E610000001000000010300000001000000050000000200008029BB50C0CEFFFF7F6BF838C0000000E0A3D150C0C0FFFFFF140B39C000000080B1D650C0CEFFFF5FA3B938C00200000058C050C0C0FFFFBF27A738C00200008029BB50C0CEFFFF7F6BF838C0
9.2,10.445,9.66,9.739,9.199,8.192,7.594,7.639,8.494,9.097,10.166,10.062,10.114,"{""type"":""MultiPolygon"",""coordinates"":[[[[-66.7594909667969,-25.6083202362058],[-67.1148376464844,-25.6826496124266],[-67.1957397460938,-25.3624591827391],[-66.8424682617188,-25.2888507843016],[-66.7594909667969,-25.6083202362058]]]]}",0106000020E61000000100000001030000000100000005000000000000809BB050C0C6FFFFDFBA9B39C00000008059C750C0D0FFFF1FC2AE39C00200000087CC50C0C6FFFF1FCA5C39C000000000EBB550C0CAFFFF1FF24939C0000000809BB050C0C6FFFFDFBA9B39C0
9.369,10.708,10.046,9.79,9.495,8.228,7.518,7.651,8.395,9.413,10.505,10.522,10.168,"{""type"":""MultiPolygon"",""coordinates"":[[[[-67.1148376464844,-25.6826496124266],[-67.47119140625,-25.7550392150877],[-67.5499877929688,-25.4341506958006],[-67.1957397460938,-25.3624591827391],[-67.1148376464844,-25.6826496124266]]]]}",0106000020E610000001000000010300000001000000050000000000008059C750C0D0FFFF1FC2AE39C0FEFFFFFF27DE50C0C6FFFF3F4AC139C00000000033E350C0CCFFFF7F246F39C00200000087CC50C0C6FFFF1FCA5C39C00000008059C750C0D0FFFF1FC2AE39C0
9.186,8.896,8.747,8.501,9.291,9.066,8.506,8.986,9.302,10.047,10.459,9.565,8.873,"{""type"":""MultiPolygon"",""coordinates"":[[[[-66.7989196777344,-22.6282005310057],[-67.1346130371094,-22.6998996734617],[-67.2109375,-22.3903102874754],[-66.877082824707,-22.3192806243894],[-66.7989196777344,-22.6282005310057]]]]}",0106000020E610000001000000010300000001000000050000000200008021B350C0D8FFFFBFD1A036C0020000809DC850C0C6FFFF9F2CB336C0FEFFFFFF7FCD50C0C0FFFF5FEB6336C00000002022B850C0C4FFFF5FBC5136C00200008021B350C0D8FFFFBFD1A036C0
9.145,9.096,8.411,8.562,9.205,9.015,8.42,8.771,9.095,9.905,10.445,9.555,9.271,"{""type"":""MultiPolygon"",""coordinates"":[[[[-66.7198181152344,-22.9381294250487],[-67.0573730468749,-23.0105209350584],[-67.1346130371094,-22.6998996734617],[-66.7989196777344,-22.6282005310057],[-66.7198181152344,-22.9381294250487]]]]}",0106000020E610000001000000010300000001000000050000000000008011AE50C0D4FFFF3F29F036C0FCFFFFFFABC350C0D6FFFF7FB10237C0020000809DC850C0C6FFFF9F2CB336C00200008021B350C0D8FFFFBFD1A036C00000008011AE50C0D4FFFF3F29F036C0
9.367,9.652,9.244,9.18,9.342,9,8.391,8.684,9.06,9.708,10.337,10.069,9.746,"{""type"":""MultiPolygon"",""coordinates"":[[[[-67.0573730468749,-23.0105209350584],[-67.3958435058593,-23.0811290740965],[-67.47119140625,-22.7698497772215],[-67.1346130371094,-22.6998996734617],[-67.0573730468749,-23.0105209350584]]]]}",0106000020E61000000100000001030000000100000005000000FCFFFFFFABC350C0D6FFFF7FB10237C0FEFFFF7F55D950C0D2FFFFDFC41437C0FEFFFFFF27DE50C0D2FFFFDF14C536C0020000809DC850C0C6FFFF9F2CB336C0FCFFFFFFABC350C0D6FFFF7FB10237C0
9.75,11.662,10.453,9.876,9.601,8.309,7.608,7.557,8.413,9.57,11.072,11.558,11.329,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.4796829223632,-24.6113300323484],[-68.8305130004883,-24.6753101348876],[-68.8994064331054,-24.3566703796385],[-68.5506591796875,-24.293300628662],[-68.4796829223632,-24.6113300323484]]]]}",0106000020E61000000100000001030000000100000005000000FCFFFF1FB31E51C0C2FFFF1F809C38C002000020273551C0D8FFFF1FE1AC38C0FEFFFFDF8F3951C0C6FFFFBF4E5B38C0FEFFFFFF3D2351C0D4FFFFBF154B38C0FCFFFF1FB31E51C0C2FFFF1F809C38C0
9.614,11.795,10.664,9.943,9.633,7.897,7.222,7.098,8.207,9.35,10.833,11.352,11.384,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.4078369140625,-24.9304103851317],[-68.7607116699219,-24.9950103759764],[-68.8305130004883,-24.6753101348876],[-68.4796829223632,-24.6113300323484],[-68.4078369140625,-24.9304103851317]]]]}",0106000020E61000000100000001030000000100000005000000000000001A1A51C0D6FFFF5F2FEE38C002000080AF3051C0D2FFFFFFB8FE38C002000020273551C0D8FFFF1FE1AC38C0FCFFFF1FB31E51C0C2FFFF1F809C38C0000000001A1A51C0D6FFFF5F2FEE38C0
9.64,12.012,10.864,10.157,9.688,7.91,7.241,6.881,8.188,9.156,10.867,11.345,11.372,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.3350830078125,-25.250549316406],[-68.6900634765624,-25.3157806396482],[-68.7607116699219,-24.9950103759764],[-68.4078369140625,-24.9304103851317],[-68.3350830078125,-25.250549316406]]]]}",0106000020E6100000010000000103000000010000000500000002000000721551C0C6FFFFFF234039C0FCFFFFFF292C51C0C6FFFFFFD65039C002000080AF3051C0D2FFFFFFB8FE38C0000000001A1A51C0D6FFFF5F2FEE38C002000000721551C0C6FFFFFF234039C0
